backup,age,bridgecrane,servo,gear,trashrack,slope,elevation,survive,hour,reason,reason2,ID,motor,Hour,Stop,motor_on
0,6,0,0,0,1,3,2,0,48,0,5,1,0,1,2,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,2,3,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,3,4,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,4,5,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,5,6,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,6,7,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,7,8,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,8,9,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,9,10,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,10,11,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,11,12,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,12,13,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,13,14,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,14,15,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,15,16,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,16,17,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,17,18,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,18,19,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,19,20,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,20,21,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,21,22,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,22,23,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,23,24,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,24,25,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,25,26,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,26,27,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,27,28,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,28,29,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,29,30,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,30,31,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,31,32,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,32,33,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,33,34,0
0,6,0,0,0,1,3,2,0,48,0,5,1,0,34,35,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,35,36,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,36,37,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,37,38,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,38,39,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,39,40,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,40,41,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,41,42,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,42,43,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,43,44,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,44,45,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,45,46,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,46,47,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,47,48,1
0,6,0,0,0,1,3,2,0,48,0,5,1,0,48,49,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,1,2,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,2,3,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,3,4,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,4,5,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,5,6,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,6,7,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,7,8,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,8,9,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,9,10,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,10,11,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,11,12,0
0,6,1,0,0,1,7,3,0,48,0,5,2,0,12,13,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,13,14,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,14,15,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,15,16,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,16,17,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,17,18,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,18,19,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,19,20,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,20,21,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,21,22,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,22,23,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,23,24,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,24,25,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,25,26,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,26,27,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,27,28,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,28,29,1
0,6,1,0,0,1,7,3,0,48,0,5,2,0,29,30,1
